Node: d1028  Start: Mon Jun 22 05:07:08 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0622 05:07:43.990000 1102043 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823087 -0.0045823087 -0.0045823087) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.021 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
     16600   8.3            327.42671     -3227.5527      21.119289     -3702.4396      5790.6148      17.957322      17.957322      17.957322    
     16700   8.35           362.47712     -3229.8139      23.380069     -7331.3299      5791.3842      17.958117      17.958117      17.958117    
     16800   8.4            351.61719     -3229.1129      22.679594     -5084.9279      5792.1512      17.95891       17.95891       17.95891     
     16900   8.45           338.76043     -3228.2838      21.850323     -5380.1792      5792.916       17.9597        17.9597        17.9597      
     17000   8.5            349.31526     -3228.9643      22.531118     -7289.3176      5793.6788      17.960488      17.960488      17.960488    
     17100   8.55           358.91721     -3229.5832      23.150452     -5442.5816      5794.439       17.961274      17.961274      17.961274    
     17200   8.6            323.41059     -3227.2931      20.860246     -4680.8279      5795.197       17.962057      17.962057      17.962057    
     17300   8.65           350.14091     -3229.0165      22.584373     -8546.4271      5795.9528      17.962838      17.962838      17.962838    
     17400   8.7            353.80688     -3229.2518      22.820831     -7604.1359      5796.7056      17.963615      17.963615      17.963615    
     17500   8.75           329.12135     -3227.6582      21.228594     -8388.2329      5797.4553      17.96439       17.96439       17.96439     
     17600   8.8            350.87416     -3229.0603      22.631668     -7607.8215      5798.2019      17.965161      17.965161      17.965161    
     17700   8.85           344.15995     -3228.6261      22.198597     -9065.8338      5798.9456      17.965929      17.965929      17.965929    
     17800   8.9            333.41834     -3227.931       21.505754     -8878.7288      5799.6857      17.966693      17.966693      17.966693    
     17900   8.95           347.7384      -3228.8534      22.42941      -8458.8275      5800.4223      17.967454      17.967454      17.967454    
     18000   9              339.40397     -3228.3148      21.891832     -6798.3512      5801.1558      17.968211      17.968211      17.968211    
     18100   9.05           350.12193     -3229.0056      22.583149     -7895.0502      5801.8865      17.968966      17.968966      17.968966    
     18200   9.1            357.78826     -3229.4983      23.077634     -11161.831      5802.6142      17.969717      17.969717      17.969717    
     18300   9.15           328.82972     -3227.6282      21.209784     -8573.7699      5803.3379      17.970464      17.970464      17.970464    
     18400   9.2            345.51457     -3228.7031      22.28597      -7827.4529      5804.0581      17.971207      17.971207      17.971207    
     18500   9.25           350.11246     -3228.9985      22.582538     -9214.1487      5804.7752      17.971947      17.971947      17.971947    
     18600   9.3            351.88989     -3229.1115      22.697184     -10353.595      5805.4888      17.972684      17.972684      17.972684    
     18700   9.35           340.1173      -3228.35        21.937842     -10838.884      5806.1987      17.973416      17.973416      17.973416    
     18800   9.4            342.45685     -3228.4983      22.088745     -11465.334      5806.9044      17.974144      17.974144      17.974144    
     18900   9.45           334.28781     -3227.9689      21.561836     -9700.9086      5807.6058      17.974868      17.974868      17.974868    
     19000   9.5            351.91951     -3229.1041      22.699095     -12238.237      5808.3032      17.975587      17.975587      17.975587    
     19100   9.55           350.52101     -3229.0115      22.60889      -11823.002      5808.9962      17.976302      17.976302      17.976302    
     19200   9.6            350.63816     -3229.0166      22.616446     -11156.66       5809.6849      17.977013      17.977013      17.977013    
     19300   9.65           341.6673      -3228.4355      22.037818     -11870.816      5810.3693      17.977719      17.977719      17.977719    
     19400   9.7            331.40839     -3227.7711      21.37611      -11098.205      5811.0493      17.97842       17.97842       17.97842     
     19500   9.75           368.22485     -3230.1432      23.750802     -15003.849      5811.7248      17.979117      17.979117      17.979117    
     19600   9.8            324.44734     -3227.3161      20.927117     -11837.686      5812.3952      17.979808      17.979808      17.979808    
     19700   9.85           347.36203     -3228.791       22.405133     -13567.581      5813.0607      17.980494      17.980494      17.980494    
     19800   9.9            342.60122     -3228.4812      22.098057     -12094.483      5813.7212      17.981175      17.981175      17.981175    
     19900   9.95           348.02581     -3228.8288      22.447947     -12397.52       5814.3771      17.981851      17.981851      17.981851    
     20000   10             335.6626      -3228.0281      21.65051      -13366.843      5815.0284      17.982523      17.982523      17.982523    
