# Time-averaged data for fix thermo_out
# TimeStep c_surf_temp
122200 288.505
122400 311.54
122600 297.183
122800 295.165
123000 306.963
123200 299.456
123400 283.836
123600 296.423
123800 323.159
124000 293.379
124200 287.125
124400 296.333
124600 318.515
124800 306.876
125000 308.179
125200 296.239
125400 314.742
125600 291.409
125800 297.286
126000 295.247
126200 316.47
126400 319.575
126600 281.488
126800 288.963
127000 295.613
127200 309.327
127400 292.148
127600 287.748
127800 296.133
128000 288.128
128200 304.749
128400 297.634
128600 282.149
128800 271.258
129000 288.612
129200 299.012
129400 306.044
129600 301.958
129800 291.543
130000 295.083
130200 295.53
130400 291.747
130600 295.938
130800 303.728
131000 293.935
131200 298.574
131400 301.2
131600 302.879
131800 321.852
132000 274.671
132200 297.299
132400 294.533
132600 303.185
132800 296.872
133000 303.613
133200 286.6
133400 295.836
133600 309.751
133800 317.364
134000 281.691
134200 318.334
134400 303.508
134600 294.456
134800 305.987
135000 290.552
135200 325.517
135400 289.947
135600 300.453
135800 305.216
136000 301.197
136200 303.537
136400 286.697
136600 308.853
136800 304.171
137000 291.58
137200 309.282
137400 299.043
137600 297.985
137800 298.206
138000 311.931
138200 280.99
138400 289.392
138600 296.602
138800 285.522
139000 306.362
139200 292.423
139400 298.09
139600 312.036
139800 315.646
140000 299.915
140200 281.173
140400 305.961
140600 313.176
140800 325.608
141000 295.115
141200 302.274
141400 298.435
141600 308.849
141800 302.22
142000 305.196
142200 308.837
142400 308.86
142600 296.817
142800 302.899
143000 290.807
143200 295.12
143400 309.322
143600 293.503
143800 311.658
144000 302.23
144200 302.075
144400 302.507
144600 307.058
144800 292.689
145000 291.53
145200 306.024
145400 306.378
145600 296.217
145800 285.905
146000 296.742
146200 302.402
146400 298.973
146600 292.814
146800 303.551
147000 306.387
147200 299.717
147400 302.686
147600 312.493
147800 299.842
148000 290.509
148200 296.724
148400 283.3
148600 305.337
148800 299.062
149000 293.304
149200 282.142
149400 306.549
149600 289.939
149800 308.123
150000 302.902
150200 303.879
150400 308.654
150600 311.113
150800 274.65
151000 299.391
151200 287.848
151400 291.969
151600 286.379
151800 272.856
152000 295.939
152200 286.102
152400 298.565
152600 286.253
152800 299.131
153000 293.211
153200 291.518
153400 302.584
153600 302.848
153800 306.939
154000 320.571
154200 283.739
154400 319.364
154600 305.426
154800 303.699
155000 313.384
155200 306.067
155400 268.569
155600 302.014
155800 312.876
156000 297.878
156200 298.353
156400 290.299
156600 296.503
156800 272.04
157000 301.162
157200 304.485
157400 295.486
157600 305.083
157800 294.348
158000 287.15
158200 298.31
158400 294.691
158600 290.409
158800 315.963
159000 305.793
159200 296.657
159400 301.575
159600 308.957
159800 291.902
160000 294.643
160200 303.796
160400 296.63
160600 318.823
160800 302.562
161000 300.482
161200 304.328
161400 291.694
161600 308.859
161800 304.94
162000 324.125
162200 280.371
162400 297.931
162600 292.547
162800 291.788
163000 296.571
163200 297.688
163400 290.676
163600 294.675
163800 307.075
164000 290.987
164200 296.356
164400 317.257
164600 313.297
164800 305.235
165000 320.918
165200 312.268
165400 304.189
165600 323.042
165800 289.672
166000 313.858
166200 302.449
166400 296.282
166600 326.277
166800 314.331
167000 293.029
167200 272.952
167400 304.197
167600 319.759
167800 288.75
168000 293.141
168200 304.38
168400 317.03
168600 300.518
168800 301.163
169000 276.65
169200 312.144
169400 309.7
169600 300.15
169800 297.364
170000 299.215
170200 284.724
170400 301.938
170600 316.96
170800 295.889
171000 311.315
171200 299.959
171400 321.961
171600 298.795
171800 302.005
172000 318.206
172200 301.447
172400 309.735
172600 307.013
172800 303.025
173000 314.132
173200 298.144
173400 302.805
173600 282.897
173800 299.566
174000 307.074
174200 329.652
174400 288.894
174600 303.998
174800 302.342
175000 297.4
175200 284.715
175400 290.301
175600 296.342
175800 301.773
176000 310.482
176200 306.345
176400 313.78
176600 306.284
176800 309.699
177000 312.537
177200 309.484
177400 296.591
177600 302.621
177800 317.697
178000 285.63
178200 304.981
178400 299.762
178600 298.3
178800 289.644
179000 318.147
179200 309.163
179400 290.936
179600 288.842
179800 301.632
180000 295.767
180200 306.315
180400 305.7
180600 283.915
180800 309.755
181000 274.792
181200 297.764
181400 296.57
181600 286.994
181800 296.9
182000 298.676
182200 289.853
182400 314.946
182600 311.107
182800 300.245
183000 311.318
183200 311.438
183400 320.131
183600 305.912
183800 301.805
184000 308.968
184200 264.883
184400 296.565
184600 302.329
184800 294.095
185000 304.299
185200 305.825
185400 306.788
185600 322.28
185800 316.351
186000 298.468
186200 308.812
186400 310.622
186600 299.575
186800 305.601
187000 289.081
187200 314.823
187400 322.353
187600 312.813
187800 301.878
188000 304.395
188200 312.078
188400 297.349
188600 311.628
188800 292.601
189000 294.784
189200 311.093
189400 291.653
189600 283.515
189800 301.303
190000 297.01
190200 318.433
190400 309.464
190600 316.957
190800 296.945
191000 314.07
191200 292.254
191400 305.462
191600 303.325
191800 320.58
192000 309.457
192200 306.704
192400 322.474
192600 307.991
192800 314.08
193000 287.806
193200 301.363
193400 311.69
193600 322.7
193800 289.251
194000 301.208
194200 292.079
194400 339.861
194600 310.16
194800 297.116
195000 314.766
195200 302.58
195400 303.067
195600 295.587
195800 289.421
196000 304.367
196200 311.939
196400 310.955
196600 302.116
196800 272.199
197000 311.96
197200 296.302
197400 321.371
197600 313.243
197800 307.793
198000 308.479
198200 290.933
198400 313.644
198600 290.695
198800 292.118
199000 300.731
199200 295.576
199400 299.932
199600 306.566
199800 302.999
200000 303.506
