# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
9.500000000000000000e+01 6.676543913977116551e-01 5.683148055256290743e-01 1.433890393135011321e+00 3.392572017027658404e+01
9.550000000000000000e+01 6.671071714471755731e-01 5.694990563985495857e-01 1.431724418550228917e+00 3.405065075513110173e+01
9.600000000000000000e+01 6.677842010673032958e-01 5.722881204263560173e-01 1.441180652615889901e+00 3.418039505387593380e+01
9.650000000000000000e+01 6.685440845150611988e-01 5.716915287187309680e-01 1.438486462004357813e+00 3.426654539082853290e+01
9.700000000000000000e+01 6.706345634573832593e-01 5.769288822877581824e-01 1.453214108486916345e+00 3.432892940256166980e+01
9.750000000000000000e+01 6.738309246093414639e-01 5.726133826570443119e-01 1.453237907673966545e+00 3.441461228825162522e+01
9.800000000000000000e+01 6.701619396491186320e-01 5.747477360981609884e-01 1.466190736638927516e+00 3.459048420843504346e+01
9.850000000000000000e+01 6.712600611140336904e-01 5.757701481948619415e-01 1.465213353995475476e+00 3.483888926212333814e+01
9.900000000000000000e+01 6.702887648026092382e-01 5.736163350944742945e-01 1.465252598177743781e+00 3.506671422317852205e+01
9.950000000000000000e+01 6.687732220092165170e-01 5.771070875469277439e-01 1.472948806842166114e+00 3.527187630902729154e+01
1.000000000000000000e+02 6.722596115385857107e-01 5.745548089039969053e-01 1.484143019430438359e+00 3.542985392655748456e+01
1.005000000000000000e+02 6.686305815381538009e-01 5.757356958216153231e-01 1.483850490476000150e+00 3.562287148999907060e+01
1.010000000000000000e+02 6.621482156110853889e-01 5.763473919985373506e-01 1.484381253103848941e+00 3.577743613087827868e+01
1.015000000000000000e+02 6.596061348229582677e-01 5.767082156564714568e-01 1.491441745641217231e+00 3.596263575436389459e+01
1.020000000000000000e+02 6.590160392338473283e-01 5.777904763084810158e-01 1.499150649316576933e+00 3.608204579827554426e+01
1.025000000000000000e+02 6.622319095763888885e-01 5.786221910787807676e-01 1.513236001451234491e+00 3.626562520252812050e+01
1.030000000000000000e+02 6.559377420198455599e-01 5.768315311645560994e-01 1.511868001101698944e+00 3.642448556578714403e+01
1.035000000000000000e+02 6.661473297626738788e-01 5.738726045147604093e-01 1.516251769633462088e+00 3.654308972925326771e+01
1.040000000000000000e+02 6.708319634026295164e-01 5.742912575731632385e-01 1.523791580896442399e+00 3.666870439232754109e+01
1.045000000000000000e+02 6.703789961117646579e-01 5.814636900558048938e-01 1.530183689749690545e+00 3.686943386372784914e+01
1.050000000000000000e+02 6.631567374010070015e-01 5.796424102851277516e-01 1.538463679258714301e+00 3.704611727193360338e+01
1.055000000000000000e+02 6.724041440836433514e-01 5.801403999303100800e-01 1.540363671921705535e+00 3.716480258603702680e+01
1.060000000000000000e+02 6.730150571382466085e-01 5.794534876152832581e-01 1.546973434729945751e+00 3.729665584531092293e+01
1.065000000000000000e+02 6.728549763520185190e-01 5.815558093385869709e-01 1.554675194462344701e+00 3.746801207099321829e+01
1.070000000000000000e+02 6.703647902622377197e-01 5.800210767926184952e-01 1.557120361913209017e+00 3.755576303484877343e+01
1.075000000000000000e+02 6.738273936234836503e-01 5.808506118616640901e-01 1.562497256504121301e+00 3.766579970210005968e+01
1.080000000000000000e+02 6.746435033490272293e-01 5.823769862568871636e-01 1.569734885087081810e+00 3.779716556917537673e+01
1.085000000000000000e+02 6.732490589644080092e-01 5.823157880140965581e-01 1.575348864745093502e+00 3.795781302249330480e+01
