# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  MSD_1000K MSD_1200K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K MSD_1000K MSD_1200K
1.100000000000000000e+01 7.095573735409059501e-02 1.044116465480054018e-01 1.241782416603110173e+00 1.057371030188781802e+01 4.850764213462897345e+01 8.931224908498741399e+01
1.150000000000000000e+01 7.310149328782136746e-02 1.040129780583897157e-01 1.294208818083964818e+00 1.099959226869618867e+01 5.097900465795629543e+01 9.282913105649369356e+01
1.200000000000000000e+01 7.322753919092755970e-02 1.055784197802979024e-01 1.339519587441638349e+00 1.147076248841269930e+01 5.335510324646377711e+01 9.632268928406006125e+01
1.250000000000000000e+01 7.485869666632791186e-02 1.073119565460704944e-01 1.391867477442411793e+00 1.192476427403942552e+01 5.575583033198774530e+01 9.974098546490702688e+01
1.300000000000000000e+01 7.311552267728814447e-02 1.049668253945762464e-01 1.442118675563389685e+00 1.242761009290558682e+01 5.817063235371627172e+01 1.029800279865219608e+02
1.350000000000000000e+01 7.493555303894164354e-02 1.007221318943012228e-01 1.494439785328629533e+00 1.290781741067776700e+01 6.061820469135481204e+01 1.062245437024440093e+02
1.400000000000000000e+01 7.252736639504411831e-02 1.044168606647657704e-01 1.543679303279225978e+00 1.338297579713437102e+01 6.311408695843331884e+01 1.095938801406948642e+02
1.450000000000000000e+01 7.183830958661684141e-02 1.049180686228940035e-01 1.597083411989402180e+00 1.389261196078208549e+01 6.568276522145285412e+01 1.127282017175336506e+02
1.500000000000000000e+01 7.051943713127123425e-02 9.885892201685927971e-02 1.647408066444323582e+00 1.439579435854361655e+01 6.823126421660941787e+01 1.158831977198698695e+02
1.550000000000000000e+01 7.346017618544217753e-02 1.042319520007483069e-01 1.698311278638707345e+00 1.490654359040428645e+01 7.076490385052964882e+01 1.191293326754800717e+02
1.600000000000000000e+01 7.260640362607213849e-02 1.007152997123213073e-01 1.750786018951259626e+00 1.541703860852538455e+01 7.329924843559361136e+01 1.224661549636967806e+02
1.650000000000000000e+01 7.346178095640326644e-02 1.044127077555858374e-01 1.802955902685967393e+00 1.590271167704223032e+01 7.575403463916248370e+01 1.259377358343092936e+02
1.700000000000000000e+01 7.257523082924335900e-02 1.042288006133605949e-01 1.857819031354396522e+00 1.642108868378175401e+01 7.820443837856906555e+01 1.294826247390898857e+02
1.750000000000000000e+01 7.238141668669849371e-02 1.065866909162346832e-01 1.909844680621828106e+00 1.692836232665139207e+01 8.068459536765121243e+01 1.330908774989881920e+02
1.800000000000000000e+01 7.308558846327646574e-02 1.038566260791126267e-01 1.967790558423071934e+00 1.745427905886748121e+01 8.312967277258245247e+01 1.364221488025123676e+02
1.850000000000000000e+01 7.375347503845629260e-02 1.060640579289617441e-01 2.022126976580806090e+00 1.795343369869669559e+01 8.553767870312434241e+01 1.400806848850666029e+02
1.900000000000000000e+01 7.269591058270677419e-02 1.031827967032125509e-01 2.060812910441899959e+00 1.852919195222350623e+01 8.807719194227547632e+01 1.437449382600356103e+02
1.950000000000000000e+01 7.172182705909713185e-02 1.009727157391244745e-01 2.116793886651846979e+00 1.909457928004385252e+01 9.059571148852037936e+01 1.475191808997197995e+02
2.000000000000000000e+01 7.193204029247089737e-02 1.046453706166324271e-01 2.166453969764065679e+00 1.962662099115016190e+01 9.317440286873598154e+01 1.514554898127875902e+02
2.050000000000000000e+01 7.398332480253425048e-02 1.023507949490411045e-01 2.223469651204657449e+00 2.015510350485613955e+01 9.568027651774625042e+01 1.555727526524014195e+02
2.100000000000000000e+01 7.348366105318712704e-02 1.012752475279643655e-01 2.276003518757848010e+00 2.066369429609020614e+01 9.821594601208224162e+01 1.599449199606540901e+02
2.150000000000000000e+01 7.287736106927299173e-02 1.050832278365569222e-01 2.326818846618244230e+00 2.122433898093338200e+01 1.006220767746866329e+02 1.642438973309808148e+02
2.200000000000000000e+01 7.067773645689773288e-02 1.036507446971859786e-01 2.379107482183047573e+00 2.175353948856713160e+01 1.029654202605795774e+02 1.681968874328150889e+02
2.250000000000000000e+01 7.259359504567308718e-02 1.024147241942307690e-01 2.434092975886470001e+00 2.228815111801295146e+01 1.053516526825044508e+02 1.721604936088047566e+02
2.300000000000000000e+01 7.487234814721649423e-02 1.036587982773882755e-01 2.476746908324398699e+00 2.283074930167418515e+01 1.077873818355942461e+02 1.760820080935430667e+02
2.350000000000000000e+01 7.618405888239339341e-02 1.031736682607977962e-01 2.536442983373383697e+00 2.333841139639650564e+01 1.102646346188094952e+02 1.797604694601501762e+02
2.400000000000000000e+01 7.360622565223673419e-02 1.030886719187198708e-01 2.590583199855333696e+00 2.380898308747394054e+01 1.126016863427210382e+02 1.834053633170905471e+02
2.450000000000000000e+01 7.344486543285123903e-02 1.013916549024793390e-01 2.634702688266390869e+00 2.426072051604400670e+01 1.149241151981528191e+02 1.872047044537645206e+02
2.500000000000000000e+01 7.153322470385940768e-02 9.855471893535494576e-02 2.689043254957959928e+00 2.472226186640136802e+01 1.171939914388963047e+02 1.910494282593158459e+02
2.550000000000000000e+01 7.345194972268964673e-02 1.013680590685517302e-01 2.741888525929379039e+00 2.517750294640461206e+01 1.196165115539434112e+02 1.947880400151137508e+02
2.600000000000000000e+01 7.260578285162180845e-02 1.029666306761904820e-01 2.797936512901794348e+00 2.558638565966952783e+01 1.220522336490426767e+02 1.984542411942906881e+02
2.650000000000000000e+01 7.471245887479281700e-02 1.001239753382597020e-01 2.852534776666022509e+00 2.599006048977521388e+01 1.245537104230207746e+02 2.021537795100868209e+02
2.700000000000000000e+01 7.320958482225294051e-02 1.017046799322045558e-01 2.905941229553006266e+00 2.638589708599488404e+01 1.270670912671559449e+02 2.057310058130435664e+02
2.750000000000000000e+01 7.155074852130015317e-02 1.043871524916320792e-01 2.958300363088243845e+00 2.672213180294907531e+01 1.294849387159112837e+02 2.091284744901877843e+02
2.800000000000000000e+01 7.426126068622838916e-02 1.027427051080276876e-01 3.013270895577647046e+00 2.703095737467590354e+01 1.319138701394372504e+02 2.125194385664741787e+02
2.850000000000000000e+01 7.396515498372574493e-02 1.044344333379501333e-01 3.067320340568144399e+00 2.734769680083365273e+01 1.342238716720640923e+02 2.158845446976130233e+02
2.900000000000000000e+01 7.180048973367983423e-02 1.034191598326403144e-01 3.125955440639362148e+00 2.765303438868049568e+01 1.365754056357004345e+02 2.192543622807176575e+02
2.950000000000000000e+01 7.212685985436892433e-02 1.021317865246879342e-01 3.174814789076005450e+00 2.800451752175498044e+01 1.388786622986760335e+02 2.226230471030102365e+02
3.000000000000000000e+01 7.211016453809854232e-02 1.009922829226925500e-01 3.226331495749826583e+00 2.832615606479777526e+01 1.412514828743808550e+02 2.259943067654273250e+02
3.050000000000000000e+01 7.578393517833333093e-02 1.020256206997916526e-01 3.270969324682916568e+00 2.862049610953912904e+01 1.434330883342901473e+02 2.293389243604640910e+02
3.100000000000000000e+01 7.286146913919389068e-02 1.020833586663655035e-01 3.322205642876720155e+00 2.893281068874886941e+01 1.454945207972821208e+02 2.326540799118090490e+02
3.150000000000000000e+01 7.496970658324060566e-02 9.918399013922112040e-02 3.362375405458066346e+00 2.922244668401085832e+01 1.474017149159352584e+02 2.358130650962710320e+02
3.200000000000000000e+01 7.183630440340987855e-02 1.012633030025052033e-01 3.410827514657619908e+00 2.953760140225645259e+01 1.492678774800890835e+02 2.391390436560726585e+02
3.250000000000000000e+01 7.442220800306409423e-02 1.028439479092618375e-01 3.472911633311699386e+00 2.982815118022174516e+01 1.511878126433637419e+02 2.424869209869296185e+02
3.300000000000000000e+01 7.446552733456447692e-02 1.072510582926829159e-01 3.509307896517491532e+00 3.011287152133974487e+01 1.531866485308947006e+02 2.459643789445665902e+02
3.350000000000000000e+01 7.447009329114365195e-02 1.053068641602510486e-01 3.540780004905857759e+00 3.037023730339186756e+01 1.552866731031066934e+02 2.496317231028493779e+02
3.400000000000000000e+01 7.424133504228890013e-02 1.023985986789951175e-01 3.583193443664550060e+00 3.062807847154467211e+01 1.575056589955195534e+02 2.533592435640886151e+02
3.450000000000000000e+01 7.444218751263965983e-02 1.041015852677374259e-01 3.605712193681982924e+00 3.087356502132429981e+01 1.596587904296468139e+02 2.569567079860238437e+02
3.500000000000000000e+01 7.433263582445842621e-02 1.020980257986722484e-01 3.644616539567575142e+00 3.114214065311121971e+01 1.618739042774355710e+02 2.608270838044527977e+02
3.550000000000000000e+01 7.211974273951048120e-02 1.024622457990909119e-01 3.672901235557971766e+00 3.139005999612286857e+01 1.641903873171578425e+02 2.646299009697629572e+02
3.600000000000000000e+01 7.329573635311406599e-02 1.021755362447165916e-01 3.705059332361581692e+00 3.162255885498833052e+01 1.665439461581896410e+02 2.683896033138776147e+02
3.650000000000000000e+01 7.210965091932775017e-02 1.015248320475490157e-01 3.736153996287955081e+00 3.187902226796908778e+01 1.690968447886381227e+02 2.720013705819661141e+02
3.700000000000000000e+01 7.436709441464610382e-02 1.036872119454800012e-01 3.770274013486334841e+00 3.213951247134247780e+01 1.715700882633620665e+02 2.756483263144057219e+02
3.750000000000000000e+01 7.575915654193549065e-02 1.014669467877278991e-01 3.800619589204628390e+00 3.240748764613626776e+01 1.740865800094032920e+02 2.792251376887219294e+02
3.800000000000000000e+01 7.387268593501754299e-02 1.022202878442105140e-01 3.834197642047859844e+00 3.268152989805650321e+01 1.766861829153076826e+02 2.826203543738971575e+02
3.850000000000000000e+01 7.420779964445226029e-02 1.026512383815308960e-01 3.867738133135814049e+00 3.292002078877452220e+01 1.791770794888772116e+02 2.858264356853227923e+02
3.900000000000000000e+01 7.507689067224174173e-02 1.045919535271258027e-01 3.900188822914195441e+00 3.316434730644021300e+01 1.817235084778562282e+02 2.888618452134616632e+02
3.950000000000000000e+01 7.337948324156118307e-02 1.008204755750351511e-01 3.944447656947186687e+00 3.342378544634027548e+01 1.841477471699614910e+02 2.920398348675999500e+02
4.000000000000000000e+01 7.148016731161155324e-02 1.024995753232934570e-01 3.977356486904152444e+00 3.366834839814546143e+01 1.867019803854844611e+02 2.952583602904005033e+02
4.050000000000000000e+01 7.505716555070421347e-02 1.029021814186619477e-01 4.008921936327112689e+00 3.391548890854733855e+01 1.892977646866704617e+02 2.985544637817584430e+02
4.100000000000000000e+01 7.324588635510922985e-02 1.041121335511627777e-01 4.039779673571388230e+00 3.416150525640159685e+01 1.918945343289520338e+02 3.016870286295473420e+02
4.150000000000000000e+01 7.317607166234131599e-02 1.016439086461918412e-01 4.082691301703808229e+00 3.440602304412956158e+01 1.944991882822512252e+02 3.049139630979614708e+02
4.200000000000000000e+01 7.422106507085390881e-02 1.032578994089625724e-01 4.107660471107268840e+00 3.466231442934352458e+01 1.972424546075002638e+02 3.081916930946377420e+02
4.250000000000000000e+01 7.423287840176553964e-02 1.021254185882062154e-01 4.139399674480650049e+00 3.491258418611558056e+01 2.000378042036520014e+02 3.113625406460118938e+02
4.300000000000000000e+01 7.253469158791518712e-02 9.969436836473498376e-02 4.177008123396678485e+00 3.514953693472713780e+01 2.029009785026986492e+02 3.145076888811217941e+02
4.350000000000000000e+01 7.158259789031116982e-02 1.034221307703677567e-01 4.213678590624752474e+00 3.539024894703107549e+01 2.057898026378043710e+02 3.176975860590692378e+02
4.400000000000000000e+01 7.253671322795469945e-02 1.032180536094125939e-01 4.248170404830219127e+00 3.561668014135609894e+01 2.085528496131772727e+02 3.206834446233781932e+02
4.450000000000000000e+01 7.091316102556656509e-02 9.866175162563738110e-02 4.282400702271245585e+00 3.585943157362878253e+01 2.112850939172977860e+02 3.239670833165598651e+02
4.500000000000000000e+01 7.464755026279236427e-02 1.035165338551382042e-01 4.311715147232317413e+00 3.609844382508492799e+01 2.140660898896369702e+02 3.274304308374099719e+02
4.550000000000000000e+01 7.379625057709218727e-02 1.023122777190779986e-01 4.352211517729077883e+00 3.634416353285676848e+01 2.167283952882428366e+02 3.309640133183571606e+02
4.600000000000000000e+01 7.257832564116394047e-02 1.014460159462739625e-01 4.380259896110077378e+00 3.657594188118230960e+01 2.195098477531555830e+02 3.346572941807896200e+02
4.650000000000000000e+01 7.427743574765624524e-02 1.015482115786931899e-01 4.413727195835582151e+00 3.682004295694898843e+01 2.222081926751790775e+02 3.386599393516567602e+02
4.700000000000000000e+01 7.224755980874199290e-02 1.009648073532338208e-01 4.448003376814782861e+00 3.704528751266745701e+01 2.249578060675582947e+02 3.426686202229014384e+02
4.750000000000000000e+01 7.248301311045518558e-02 1.018742508178520495e-01 4.486298462858748337e+00 3.730695625922606240e+01 2.277309690135941764e+02 3.466135938447106923e+02
4.800000000000000000e+01 7.352128372512453658e-02 1.002882837421352341e-01 4.521685621198291649e+00 3.752197120499108962e+01 2.305144307868928024e+02 3.507172538229199859e+02
4.850000000000000000e+01 7.566738296232192185e-02 1.035613337153133973e-01 4.561354404560398201e+00 3.774263025485962686e+01 2.333527515092683018e+02 3.550294422012649420e+02
4.900000000000000000e+01 7.290582714497503836e-02 1.051115272233072162e-01 4.591608974666571363e+00 3.797442674439290045e+01 2.362236948882900265e+02 3.592128318233490063e+02
4.950000000000000000e+01 7.276962482503566976e-02 1.032740712835235469e-01 4.619542306773324114e+00 3.821892487871259192e+01 2.390093877301350744e+02 3.635508491001868379e+02
5.000000000000000000e+01 7.363642462748037909e-02 1.021849123377587543e-01 4.653901281580727911e+00 3.846638368861997037e+01 2.418379625752106961e+02 3.679851766374299018e+02
5.050000000000000000e+01 7.257508516814285826e-02 1.025378764075714072e-01 4.687593123403928530e+00 3.871981043830918878e+01 2.447539363771318506e+02 3.725250380540601896e+02
5.100000000000000000e+01 7.260685106604719552e-02 1.006836589936383336e-01 4.722587417234096030e+00 3.895289970541143987e+01 2.478539694695757873e+02 3.770117152783551546e+02
5.150000000000000000e+01 7.175327801909869851e-02 9.831512394899857843e-02 4.750784501942417748e+00 3.918575488332488277e+01 2.508778268473656965e+02 3.814906094211932555e+02
5.200000000000000000e+01 7.224859219040800917e-02 9.984080050429493258e-02 4.791829604101932816e+00 3.944629600337190567e+01 2.539765514883696937e+02 3.860817891574599798e+02
5.250000000000000000e+01 7.384939636812321018e-02 1.009265052146847974e-01 4.822924714013395509e+00 3.969748272381164611e+01 2.570236430872059827e+02 3.903826911788968914e+02
5.300000000000000000e+01 7.337391720494625125e-02 1.003094390368458738e-01 4.858407090917634008e+00 3.995124237564473191e+01 2.600659609113617421e+02 3.943527297135495928e+02
5.350000000000000000e+01 7.299709330667145113e-02 1.000306858380918124e-01 4.894588498306097435e+00 4.019716871122692226e+01 2.630812684914341730e+02 3.983591121453110304e+02
5.400000000000000000e+01 7.245495576755205114e-02 1.022906747952620210e-01 4.927635719596051622e+00 4.043517365462024316e+01 2.660179806306621799e+02 4.024785086272511307e+02
5.450000000000000000e+01 6.950527275294539342e-02 1.009746044313218211e-01 4.956901466443534687e+00 4.067137619379974467e+01 2.688518797085662868e+02 4.065125737383705200e+02
5.500000000000000000e+01 7.210393056412651991e-02 1.008864789757728114e-01 4.990597597652767448e+00 4.093364586286799067e+01 2.716852724778030961e+02 4.108236369217612491e+02
5.550000000000000000e+01 7.100993425978419094e-02 9.988889081841725859e-02 5.024619080364243651e+00 4.114688530394453636e+01 2.744573300059997223e+02 4.149923474121137019e+02
5.600000000000000000e+01 7.245877877264218780e-02 1.026243435935925152e-01 5.059919995657018887e+00 4.135381216405824745e+01 2.772172496437627842e+02 4.190196208540529597e+02
5.650000000000000000e+01 7.355913794286744745e-02 1.018816973569164064e-01 5.092624387550648279e+00 4.155707766426002792e+01 2.799962007090475709e+02 4.229525122802206738e+02
5.700000000000000000e+01 7.215777346452777186e-02 1.005538137414564021e-01 5.131681937141673089e+00 4.174750836347003258e+01 2.827507655414142391e+02 4.266272920902144961e+02
5.750000000000000000e+01 7.343517747893218983e-02 1.009489472435786406e-01 5.172690128388816255e+00 4.193298626923674988e+01 2.854364990115209935e+02 4.304962901633538763e+02
5.800000000000000000e+01 7.267732621090253198e-02 1.027134167943682258e-01 5.207201162337617539e+00 4.214978867923342420e+01 2.881100443468217236e+02 4.343009647576876091e+02
5.850000000000000000e+01 7.169870744118496397e-02 9.965372682543355287e-02 5.238424851569941865e+00 4.234299893947669347e+01 2.907509544251167313e+02 4.377981063644211872e+02
5.900000000000000000e+01 7.340418416023138104e-02 1.000628769574837124e-01 5.268116830235792136e+00 4.254859679114795057e+01 2.934064701069217449e+02 4.412863971283640581e+02
5.950000000000000000e+01 7.167362771830679269e-02 1.010708989497828975e-01 5.307733333770477735e+00 4.274186759295863425e+01 2.960622095835910841e+02 4.447756840455917313e+02
6.000000000000000000e+01 7.252418680391019279e-02 9.960372231781317032e-02 5.337636178127081799e+00 4.295714601335803451e+01 2.986599575786447076e+02 4.482646068944544595e+02
6.050000000000000000e+01 7.397835689695651806e-02 1.022564199616666641e-01 5.362430325150289612e+00 4.316737793199268225e+01 3.013280877549736942e+02 4.516266219386312173e+02
6.100000000000000000e+01 7.215546567766496777e-02 1.014445373623640290e-01 5.393014412221392107e+00 4.335942270905094631e+01 3.040249768578327121e+02 4.550672137242578401e+02
6.150000000000000000e+01 7.043110208984033893e-02 1.005887347356313744e-01 5.414771377699347354e+00 4.355229810899019327e+01 3.068717803120653116e+02 4.586472458896708986e+02
6.200000000000000000e+01 7.277187400522874827e-02 1.022762779083514761e-01 5.447248953631372181e+00 4.378239988931045445e+01 3.096028780546287749e+02 4.621107332986370579e+02
6.250000000000000000e+01 7.415366117005814384e-02 1.004548260130813941e-01 5.474697867792804651e+00 4.399266801050164588e+01 3.124147152331934763e+02 4.654820754214299541e+02
6.300000000000000000e+01 7.123906982399999532e-02 1.008877917813818109e-01 5.497286440332872282e+00 4.421743479354857698e+01 3.152838003954212809e+02 4.688354292423103402e+02
6.350000000000000000e+01 7.207866726491993226e-02 1.024120812970160249e-01 5.526200721336390842e+00 4.444884958744018633e+01 3.180882064337185966e+02 4.724074471477047155e+02
6.400000000000000000e+01 7.193891589788785346e-02 1.046487145549162556e-01 5.552718855056154368e+00 4.469994413520301890e+01 3.208737273768280147e+02 4.757615678410226678e+02
6.450000000000000000e+01 7.222314121435860490e-02 1.040859791291545156e-01 5.583134839556122664e+00 4.492072954488470771e+01 3.235990646269718809e+02 4.792739368546442051e+02
6.500000000000000000e+01 7.429082044347193325e-02 1.027508726617797352e-01 5.604735915929686563e+00 4.514454123943981045e+01 3.263559935106960666e+02 4.829501435796721580e+02
6.550000000000000000e+01 7.042379380160583568e-02 1.020066172082481487e-01 5.635250652361533774e+00 4.536242528251808181e+01 3.291124290297632911e+02 4.867199649161121897e+02
6.600000000000000000e+01 7.283968457516434847e-02 1.015871407494521594e-01 5.655825756473776167e+00 4.562879315193743679e+01 3.318281758851996983e+02 4.903871904416952816e+02
6.650000000000000000e+01 7.181235820533625469e-02 1.008252208253654775e-01 5.678628608779166420e+00 4.589042901398154584e+01 3.346061775472309705e+02 4.940550911939600383e+02
6.700000000000000000e+01 7.390983464455011531e-02 9.979701691024138455e-02 5.705500413906802848e+00 4.615399857778533743e+01 3.374877756954848564e+02 4.978933058858094114e+02
6.750000000000000000e+01 7.303202938733528715e-02 1.016931526743045378e-01 5.741916534940262551e+00 4.639812863697895295e+01 3.404309381279902595e+02 5.016080169449354003e+02
6.800000000000000000e+01 7.295041472520145953e-02 1.025456832304029037e-01 5.766535911529450331e+00 4.666575373770419333e+01 3.432621458148612987e+02 5.051699214964357338e+02
6.850000000000000000e+01 7.092694674303517965e-02 1.021552638148093689e-01 5.799172068454471862e+00 4.693473305289923303e+01 3.461976665418781067e+02 5.086677663065569845e+02
6.900000000000000000e+01 7.300267644754217244e-02 1.011257796577402779e-01 5.821867454495084360e+00 4.719570546645675790e+01 3.490472678993554609e+02 5.122382856244340701e+02
6.950000000000000000e+01 7.187266166615270679e-02 1.017511146873714828e-01 5.860332725913876217e+00 4.745238980226571357e+01 3.519804790300078707e+02 5.156755403849759887e+02
7.000000000000000000e+01 7.148490610580453264e-02 1.023343424545921920e-01 5.894166518696178692e+00 4.771541389612546169e+01 3.549037157885720717e+02 5.190443289240404283e+02
7.050000000000000000e+01 6.957678653867646612e-02 1.023223133023529186e-01 5.930800095541248318e+00 4.797262101352074382e+01 3.578398850471687069e+02 5.223755692089379181e+02
7.100000000000000000e+01 7.130998827858718581e-02 1.037063312213392097e-01 5.967786783425238717e+00 4.825507226675524919e+01 3.608609288217224389e+02 5.253260837446458709e+02
7.150000000000000000e+01 7.187887046038292371e-02 1.009908743704712869e-01 5.998879743768041450e+00 4.853633190407879994e+01 3.638014890115716753e+02 5.281967706610942059e+02
7.200000000000000000e+01 7.030754245416358239e-02 1.018928221789977828e-01 6.020618631300884260e+00 4.880622026703499472e+01 3.667191329118234648e+02 5.311035204104026661e+02
7.250000000000000000e+01 7.072672104336284737e-02 1.003246999666666667e-01 6.045881386863789508e+00 4.909358881821523113e+01 3.696891163415036203e+02 5.338819759217974479e+02
7.300000000000000000e+01 7.150222386774908456e-02 1.017232795117342936e-01 6.081952556902509244e+00 4.934952882158728471e+01 3.724966915539833394e+02 5.368210905152349142e+02
7.350000000000000000e+01 7.067751534571638239e-02 1.008065326761447555e-01 6.107537221415805462e+00 4.959356481406284445e+01 3.752103233070724286e+02 5.396799308121688910e+02
7.400000000000000000e+01 7.095430890487802733e-02 9.887689396866221336e-02 6.144491776007611428e+00 4.986167583895002053e+01 3.780667056592728841e+02 5.426198712230554975e+02
7.450000000000000000e+01 7.141011741235206434e-02 9.980929657788462084e-02 6.177775004416199423e+00 5.013146284388059826e+01 3.809208151204033470e+02 5.455340550069522578e+02
7.500000000000000000e+01 7.100901103360472699e-02 1.018246817017764705e-01 6.206966982274833455e+00 5.039196763108093080e+01 3.839067545969045909e+02 5.481811386776264499e+02
7.550000000000000000e+01 7.100081746192592191e-02 1.018468260408888909e-01 6.239582337283406943e+00 5.068084138839746799e+01 3.868389608495292009e+02 5.508209326240370274e+02
7.600000000000000000e+01 7.093634039436619299e-02 1.004520217781319641e-01 6.270337020227723990e+00 5.097678452716091613e+01 3.896731423424566287e+02 5.535820054085962738e+02
7.650000000000000000e+01 7.172358246632047629e-02 1.004317654220326234e-01 6.298766609782046721e+00 5.125997084386325042e+01 3.926143535404361842e+02 5.562719352083466902e+02
7.700000000000000000e+01 7.205808088745359330e-02 9.962883366933926454e-02 6.343270146635411777e+00 5.156149443290939161e+01 3.956557365030325286e+02 5.590252877755526697e+02
7.750000000000000000e+01 7.009895238551261398e-02 9.952790332050520661e-02 6.375819045612778346e+00 5.185733178896975915e+01 3.986960559840026121e+02 5.617271035619190798e+02
7.800000000000000000e+01 7.257888013605948152e-02 1.017653087438661619e-01 6.405719308435762649e+00 5.214604435135700555e+01 4.016570725167125033e+02 5.644454161432984165e+02
7.850000000000000000e+01 7.205670086436011257e-02 1.021568757878720396e-01 6.434369795898733813e+00 5.243526932650421912e+01 4.047989741936565338e+02 5.671824943404333226e+02
7.900000000000000000e+01 7.121634105271779092e-02 1.026452111581533794e-01 6.475071518679822447e+00 5.268408698000311574e+01 4.079902575765086112e+02 5.697852098605130777e+02
7.950000000000000000e+01 7.161670373263787082e-02 1.007821234856184772e-01 6.498138498518479800e+00 5.293170877381573547e+01 4.112274578258300721e+02 5.724139973084517123e+02
8.000000000000000000e+01 7.381204677203578868e-02 1.033016606691275069e-01 6.521411968053466346e+00 5.316660642943341486e+01 4.145231604823791827e+02 5.751665916560683627e+02
8.050000000000000000e+01 6.975975661067163047e-02 1.003176635223880647e-01 6.551415111980670503e+00 5.343027679584837841e+01 4.177725297060078447e+02 5.780097225845220237e+02
8.100000000000000000e+01 7.086374288356980800e-02 1.014133003764002977e-01 6.577474549443241614e+00 5.368165848206393775e+01 4.209807439327442466e+02 5.808276286341232435e+02
